ID;FR;EN
1;Monsieur Atkins. L'heure est venue de rendre votre verdict !;Mr. Atkins, it's time for your verdict!
2;Qui allez-vous condamner ?;Who will you convict?
3;Condamner Ryker Howell;Condemn Ryker Howell
4;Condamner Gérard Précieu;Condemn Mr.Précieu
5;Condamner les deux;Condemn both of them
CRYKER_1;Après mûre réflexion, j'ai découvert que...Ryker Howell est le véritable coupable. Il doit être condamné pour ses crimes !;After careful consideration, I discovered that... Ryker Howell is the real culprit. He must be sentenced for his crimes!
CPRECIEU_1;Aprés mûre réflexion, j'ai découvert que...Gérard Précieu est le véritable coupable. Il doit être condamné pour ses crimes !!;After careful consideration, I discovered that...Gérard Précieu is the real culprit. He must be sentenced for his crimes !
CDUO_1;Après mûre réflexion, j'ai découvert que...Ryker Howell et Gérard Précieu sont tous les 2 coupables. Ils doivent être condamnés pour leurs crimes !!;After careful consideration, I discovered that...Ryker Howell and Gérard Précieu are both guilty. They will have to be sentenced for their crimes!
CRYKER_2;A l'issue de l'enquête, Ryker fût emprisonné et continua d’être maltraité en prison. Sa fille malade qu'il souhaitait sauver a été emportée par la maladie.;Following the investigation, Ryker was imprisoned and continued to be mistreated in prison. His sick daughter, whom he wanted to save, succumbed to her illness.
CRYKER_3;"Sa femme et son frére, sa seule famille encore en vie, ont croulé sous les dettes, devant rembourser tous les colliers volés à Mr.Précieu.;His wife and brother, his only living family, were broken and indented because they had to reimburse all the necklaces stolen from Mr.Précieu.
CRYKER_4;Incapable de continuer à payer le loyer de leurs apartement, ils mourirent de la malaria, au fin fond d'une allée sombre...faisant sombrer à jamais  le nom Howell dans l'oublie;Unable to keep up with their apartment's rent, his wife and brother died of malaria in a dark alley...forever sinking the Howell name into oblivion.
CPRECIEU_2;A l'issue de l'enquête M.Précieu a été emprisonné. Hanté par un esprit et enragé par son incarcération qu'il estimait injuste, il a commis un dernier massacre.;Following the investigation, Mr. Précieu was imprisoned and continued to be haunted by a spirit in prison. Ryker was able to cure his daughter of her illness, and the jewelery got a new owner whose name escapes me.
CPRECIEU_3;Il a masacré de nombreux gadiens dans la prison où il était retenu avant de décéder des suites d'un arrêt cardiaque.;However, Mr. Précieu irritated by this justice he considered unjust commited a massacre in the prison where he was incarcerated
CPRECIEU_4;Ryker quant à lui a pu guérir sa fille. Enfin, la joaillerie a été reprise par un nouveau gérant. Son nom m'échappe.;He killed all the officers of the penitentiary, letting a lot of dangerous criminals escape before succumbing himself to a heart attack.
CDUO_2;A l'issue de l'enquête Ryker et Mr.Précieu ont été emprisonnés. Ryker continua d’être maltraité en prison et sa fille malade qu'il souhaitait sauver a été emportée par la maladie.;Following the investigation, Ryker and Mr Précieu were imprisoned and Ryker continued to be mistreated in prison. His sick daughter, whom he wanted to save, succumbed to her illness.
CDUO_3;Mr.Précieu quant à lui, enragé par cette décision qu'il estimait injuste, a commis un massacre dans la prison où il était incarcéré.;However, Mr. Précieu irritated by this justice he considered unjust commited a massacre in the prison where he was incarcerated
CDUO_4;Il tua tous les officiers de la prison ainsi que les détenus qui se dressaient sur son chemin avant de succomber d'un arrêt cardiaque.;He killed all the officers of the prison as well as the poor prisoners who stood in his way before succumbing to a heart attack.
Present_1;Et voici comment s'est déroulée l'une de mes premières enquêtes en tant que détective.;And this is how one of my first investigations as a detective unfolded.
Present_2;DRIIIIIIIIIIIING;DRIIIIIIIIIIIING
Present_3;Oui, ici Keith Atkins, qui est à l'appareil ?;Yes, this is Keith Atkins speaking?
Present_4;Je vois, un meurte au Manoir Efroi ? J'arrive tout de suite !;I see, a murder at Efroi Manor? I'll be right there!
Present_5;"Et me voilà reparti pour une nouvelle enquête.;And here I am, ready for a new investigation.
