ID;FR;EN
Name_Photo;Photo avec écriture au dos;Photo with writing on the back
Desc_Photo;On peut apercevoir le visage d’une petite fille. Il est écrit au dos “Tiens bon ma chérie je ferais tout pour que tu aille mieux’.” Bizarre je croyais que c’était sa mère qui était malade et non sa fille…;"You can make out the face of a little girl. It is written on the back ""Hang in there my darling I will do anything to make you better."" Strange I though it was his mother who was sick and not his daughter..."
Name_FTA;Factures taché d'alcool;Alcohol stained bills
Desc_FTA;Plein de factures sur lesquelles on perçoit l’inscription “NON PAYÉ” sont éparpillées au sol, certaines sont tachées et elle empeste l'alcool. Elles datent d’il y a plusieurs mois, adressé au nom de “Ryker Howell”.;"Scattered on the floor are a number of bills with the words ""UNPAID"" on them, some of them stained and reeking of alcohol. They are dated several months ago and are addressed to ""Ryker Howell""."
Name_MNB;Matériel de nettoyage brisé ;Texteng
Desc_MNB;Cette raclette a certainement vu de meilleurs jours, elle a été brisé en 2 comme si quelqu’un l'avait fracassé contre une paroi dure. On peut aussi apercevoir plein de petites entailles dessus.;This scraper has certainly seen better days, it has been broken in 2 as if someone had smashed it against a hard wall. You can also see a lot of small nicks on it.
Name_EDT;Emploi du temps;Schedule
Desc_EDT_1;Voici l’emploi du temps du magasin. On peut voir que Wade et Ryker ont des journées bien occupées, enchaînant parfois 10h de travail consécutif.;Here is the schedule of the store. We can see that Wade and Ryker have very busy days, sometimes working 10 hours in a row.
Desc_EDT_2;Mais pourquoi est-il écrit qu’il faut être silencieux entre 15h et 16h?;But why is it written that you have to be quiet between 3 and 4 pm?
Name_FDP;Fiche de paie;Pay slip
Desc_FDP;C’est la fiche de paie d’un des employés de Mr.Précieu. Les salaires ont l’air excessivement bas comparé à la moyenne auxquels je suis habitué.;This is the pay slip of one of Mr.Précieu's employees. The salaries look excessively low compared to the average I'm used to.
Name_Lettre;Lettre;Letter
Desc_Lettre_1;Coucou Papa, je sais que ces derniers mois on était difficile pour toi, mais sache qu’on est de tout coeur avec toi.;Hi Dad, I know that these last months were difficult for you, but know that we are with you all the way. 
Desc_Lettre_2;Les enfants n'arrêtent pas de me chanter la petite comptine que tu leur a apprise. On se voit à Noël, Gros Bisous - Ruby;The kids can't stop singing me the little rhyme you taught them. See you at Christmas, Big Kisses - Ruby
Name_CMP;Cadre de Mrs.Précieu;frame of  Mrs.Précieu
Desc_CMP;C’est une photo de la défunte femme de Mr.Précieu. En bas de la photo il est écrit ‘Je serais toujours avec toi’.;This is a photo of Mr.Précieu's late wife. At the bottom of the picture it is written 'I will always be with you'.
Name_CU;Cartouches usagées;Used cartridges
Desc_CU;On peut remarquer une grande quantité de cartouches usagées au pied des vitres brisées de la joaillerie…Qui tirerait autant pour arrêter un simple voleur ?;One can notice a large quantity of used cartridges at the foot of the broken windows of the jewelry store...Who would shoot so much to stop a simple thief?
Name_Thom;Vieille Thompson;Old Thompson
Desc_Thom;Que fait une Thompson dans cette chambre, je ne croyais pas Mr.Précieu le genre d’homme à avoir une arme de si gros calibre chez lui. Le canon est encore tiède...;What is a Thompson doing in this room, I didn't think Mr.Precieu was the kind of man to have such a big gun in his house. The barrel is still warm...
Name_Cle;Une clé;A key
Desc_Cle;Une clé dorée avec une forme particulière. Permet d'ouvrir la porte dans la chambre.;A golden key with a special shape. Allows to open the door in the room.
Name_Penta;Pentagramme ;Pentagram 
Desc_Penta;Et bien, qui aurait cru qu’un petit couple de senior se mettrait au spiritisme… Je préfère ne pas savoir d'où proviennent les tâches dispersées sur ce pentagrammes.;Well, who would have thought that a small couple of senior citizens would take up spiritualism... I prefer not to know where the stains scattered on this pentagram come from.
Name_JMP;Journal de Mrs.Précieu;Diary of Mrs.Précieu
Desc_JMP_1;C’est un vieux journal jauni par le temps, il est écrit qu’il appartient à la défunte femme de Mr.Précieu. Un grand nombre de pages sont illisibles, certaines déchirées et une page est entièrement raturée ... ;It is an old diary yellowed by time, it is written that it belongs to the deceased wife of Mr.Précieu. Many pages are illegible, some torn and one page is completely crossed out... 
Desc_JMP_2;Mais j’ai trouvé quelques pages encore lisibles parlant d’invocation d’esprit. Il explique aussi que les plumes des attrapes rêves perdent leurs couleurs en présence d’esprits !;But I found a few pages still readable talking about spirit summoning. He also explains that the feathers of dream catchers lose their colors in the presence of spirits!
Name_AR;attrape-rêves;Dream catcher
Desc_AR;On peut observer plusieurs attrape-rêves qui ornent la salle. Ils sont tous de différentes couleurs mais les plumes de chacun sont blanches et noires.;We can observe several dream catchers that adorn the room. They are all of different colors but the feathers of each are white and black.
Name_BC;Bougie cérémoniale ;Ceremonial candle 
Desc_BC;Cette bougie brille avec une lueur étrange mais peut-être que c’est juste mon imagination;This candle shines with a strange glow but maybe it's just my imagination
Inv_Photo;"Photo d'une petite fille avec l'inscription ""Tiens bon ma chérie je ferais tout pour que tu ailles mieux"" au dos";"Photo of a little girl with the inscription ""Hang in there my darling I'll do anything to make you feel better"" on the back"
Inv_FTA;Vielles factures non payé puant l'alcool adressé à Ryker.;Old unpaid bills stinking of alcohol addressed to Ryker.
Inv_MNB;Une raclette de nettoyage qui a été brisé en 2.;A cleaning scraper that was broken in 2.
Inv_EDT;Il est écrit sur l'emploi du temps qu'il faut être silencieux entre 15h et 16h.;It is written on the timetable that you must be quiet between 3 and 4 pm.
Inv_FDP;Fiche de paie d’un des employés de Mr.Précieu, les salaires ont l’air excessivement bas.;Payroll of one of Mr.Précieu's employees, the salaries look excessively low.
Inv_Lettre;Lettre écrite par la fille de Mr.Précieu.;Letter written by the daughter of Mr.Précieu.
Inv_CMP;Photo de Mrs.Précieu. En bas de la photo il est écrit ‘Je serais toujours avec toi’.;Photo of Mrs.Précieu. At the bottom of the picture it is written 'I will always be with you'.
Inv_CU;Cartouches usagées retrouvées aux pieds des vitres brisés de la joaillerie.;Used cartridges found at the feet of the broken windows of the jewelry store.
Inv_Thom;La Thompson de Mr.Précieu, le canon est encore tiède.;The Thompson of Mr.Précieu, the barrel is still warm.
Inv_Cle;Une clé dorée avec une forme particulière. Permet d'ouvrir la porte dans la chambre.;A golden key with a special shape. Allows to open the door in the room.
Inv_Penta;Pentagramme trouvée dans la chambre à rituel des Précieu.;Pentagram found in the ritual room of Précieu.
Inv_JMP;Journal de Mrs.Précieu. Il est écrit que les attrapes-rêves perdent leurs couleurs quand un esprit est proche.;Diary of Mrs.Précieu. It is written that dreamcatchers lose their colors when a spirit is near.
Inv_AR;Attrape-rêve coloré trouvé dans la chambre à rituel des Précieu. Leurs plumes sont blanches et noires.;Colorful dream catcher found in the ritual room of the Precieu family. Their feathers are white and black.
Inv_BC;Cette bougie brille avec une lueur étrange mais peut-être que c’est juste mon imagination;This candle shines with a strange glow but maybe it's just my imagination
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
