ID;FR;EN
1;Cela fait plusieurs années que ma carrière de détective à commencé et les affaires s'enchaînent.;Texteng
2;Je suis souvent amené à faire des choix difficiles, à choisir qui devrait payer pour ses crimes et qui pourra être pardonné. ;texteng
3;Avec le temps j’ai appris que mes choix pouvaient avoir des conséquences désastreuses, ce ne sont pas des choses à prendre à la légère et je dois veiller à rendre un verdict juste et impartial.;Texteng
4;Mais parfois, j’ai comme un étrange sentiment lorsque je mène une enquête, comme si le coupable était sous mes yeux mais que je ne le voyais pas, comme si c’était un fantôme…et parfois des événements étranges se produisent…;Texteng
5;IL Y A 2 ANS…;2 years ago
6;Sinon la semaine pro j'ai rien vu que je suis pas censé commencé avant le 7 donc je pourrais passer par ton taf ~~comme c'est juste a coté de chez moi :rofl:~~ pour manger un midi et te passer ton cadeau ?;Texteng
7;Mais ce n’est pas tout mon cher Allen, plusieurs personnes ont aussi témoigné avoir vu le gérant de la boutique, Mr Gérard Précieu, canarder sa boutique à l’aide d’une thomson dans l’espoir d'arrêter le voleur. Cette accident aurait apparemment fait quelques blessés, à cause des vitres qui auraient explosé sous l’impact répété des balles.;Texteng
8;Ah je vois, à premier abord nos 2 suspects auraient réalisé des actes condamnables.;Texteng
9;Exactement, et c’est notre devoir en tant que détectives de déceler le vrai coupable et s’assurer qu’il paie pour ses crimes.;Texteng
10;Nous voilà arrivés, allons saluer le propriétaire.;Texteng
11;Ah, Mr.Atkins, c’est un honneur de vous avoir dans ma boutique…même si j'aurais souhaité vous voir dans de meilleures circonstances.;Texteng
12;Bien le bonjour à vous Mr.Précieu ! Je vous remercie de votre chaleureux accueil malgré les circonstances dans lesquelles nous nous trouvons actuellement.;Texteng
13;Je ne vais pas vous retenir plus longtemps. Ma boutique est à votre disposition pour votre enquête.;Texteng
