ID;FR;EN
1;Bonjour;Hello
2;MEURS;DIE
3;Je suis inocent;I'm innocent
4;Je suis plier en deux;Laugthing out loud
5;David essaie de se rappeler si dans la lancée de sa jeunesse fougueuse, il n’aurait pas installé une bombe logique sur les ordinateurs de l’armée, mais il ne se rappelait pas avoir fait une telle bêtise. Planter tout le système informatique de la base aurait été trop grave de conséquences.;David tried to remember if in the heat of his youth he would have installed a logic bomb on the army computers, but he didn't remember doing anything stupid like that. Crashing the entire base computer system would have been too serious a consequence.
10;yo;yo
10;je ne sais pas;I don't know
10;Feu;Fire
10;Je suis à sec;I'm dry
10;123456789;123456789
